"","id","Observed","Shannon","InvSimpson","sample","reef","site"
"26","I4H",348,4.33288867142009,22.4181816780575,"I4H_S19_L001_R1_001","Inshore","Punta Donato"
"27","I4I",317,5.00695782108575,62.271205696146,"I4I_S85_L001_R1_001","Inshore","Punta Donato"
"28","O2A",333,5.26427386294171,114.811990601013,"O2A_S18_L001_R1_001","Offshore","Bastimentos S"
"29","O2B",496,5.4866785314148,128.914116254264,"O2B_S39_L001_R1_001","Offshore","Bastimentos S"
"30","O2C",278,4.98343799963165,81.9823180072527,"O2C_S64_L001_R1_001","Offshore","Bastimentos S"
"31","O2D",402,5.40566672506312,124.453228165849,"O2D_S75_L001_R1_001","Offshore","Bastimentos S"
"32","O2E",375,5.27808677698292,105.315499353726,"O2E_S14_L001_R1_001","Offshore","Bastimentos S"
"33","O2F",118,3.29013925275327,11.3984662853691,"O2F_S66_L001_R1_001","Offshore","Bastimentos S"
"34","O2G",376,4.66215503282293,38.2830255266728,"O2G_S43_L001_R1_001","Offshore","Bastimentos S"
"35","O2H",486,5.3709754655347,78.7763650842229,"O2H_S13_L001_R1_001","Offshore","Bastimentos S"
"36","O2I",399,5.35434990545123,106.517683156493,"O2I_S49_L001_R1_001","Offshore","Bastimentos S"
"37","O3A",459,5.64782964339889,178.190164357131,"O3A_S16_L001_R1_001","Offshore","Cayo de Agua"
"38","O3B",220,4.43631151468675,42.604077354572,"O3B_S7_L001_R1_001","Offshore","Cayo de Agua"
"39","O3C",337,4.88304546777121,65.5071428571429,"O3C_S61_L001_R1_001","Offshore","Cayo de Agua"
"40","O3D",379,5.20718855158787,96.6441588820383,"O3D_S50_L001_R1_001","Offshore","Cayo de Agua"
"41","O3E",331,5.10022257283787,88.4014486768266,"O3E_S1_L001_R1_001","Offshore","Cayo de Agua"
"42","O3F",413,5.0403597390965,56.3481651386865,"O3F_S73_L001_R1_001","Offshore","Cayo de Agua"
"43","O3G",263,4.58053213867423,38.9872494762231,"O3G_S29_L001_R1_001","Offshore","Cayo de Agua"
"44","O3H",324,4.98122756374557,68.2690710079715,"O3H_S26_L001_R1_001","Offshore","Cayo de Agua"
"45","O3I",415,5.57422749226315,177.274088228773,"O3I_S2_L001_R1_001","Offshore","Cayo de Agua"
"46","O4A",380,5.0901445418676,58.1425397172867,"O4A_S25_L001_R1_001","Offshore","Drago del Mar"
"47","O4B",304,5.16695782935528,97.5994298297653,"O4B_S86_L001_R1_001","Offshore","Drago del Mar"
"48","O4C",242,4.245703506177,17.0270905209819,"O4C_S51_L001_R1_001","Offshore","Drago del Mar"
"49","O4D",282,4.28402591990544,22.5279218164522,"O4D_S62_L001_R1_001","Offshore","Drago del Mar"
"50","O4E",309,4.55212941268079,38.4284781220778,"O4E_S63_L001_R1_001","Offshore","Drago del Mar"
"51","O4F",527,5.52389981303734,125.063386723169,"O4F_S5_L001_R1_001","Offshore","Drago del Mar"
"52","O4G",186,4.57432431417849,58.7958777336833,"O4G_S38_L001_R1_001","Offshore","Drago del Mar"
"53","O4H",365,5.19010761328138,90.011816848211,"O4H_S78_L001_R1_001","Offshore","Drago del Mar"
"54","O4I",212,4.63071311137138,63.8987322506443,"O4I_S88_L001_R1_001","Offshore","Drago del Mar"
